provincecn,provinceen,citycn,cityen,latitude,longitude,confirmedcases_26-01-2020,deaths_26-01-2020,confirmedcases_27-01-2020,deaths_27-01-2020,confirmedcases_28-01-2020,deaths_28-01-2020
重庆,Chongqing,潼南区,Tongnan,30.191013,105.840555,2,0,2,0,2,0
重庆,Chongqing,万州区,Wanzhou,30.807667,108.408661,14,0,15,0,17,0
重庆,Chongqing,巫山县,Wushan,31.074834,109.879153,5,0,5,0,5,0
重庆,Chongqing,巫溪县,Wuxi,31.398604,109.570062,5,0,5,0,5,0
重庆,Chongqing,秀山县,Xiushan,28.447997,109.007094,1,0,1,0,1,0
重庆,Chongqing,永川区,Yongchuan,29.35611699999999,105.927375,3,0,3,0,3,0
重庆,Chongqing,渝北区,Yubei,29.718142,106.631187,5,0,6,0,6,0
重庆,Chongqing,云阳县,Yunyang,30.930612,108.697324,8,0,10,0,11,0
重庆,Chongqing,忠县,Zhong,30.299559,108.039002,6,0,9,0,11,0
福建,Fujian,福州,Fuzhou,26.074478,119.296482,18,0,18,0,24,0
福建,Fujian,南平,Nanping,26.641774,118.17771,2,0,3,0,3,0
福建,Fujian,宁德,Ningde,26.665617,119.547932,6,0,6,0,7,0
福建,Fujian,莆田,Putian,25.454084,119.007777,10,0,14,0,14,0
福建,Fujian,泉州,quanzhou,24.874132,118.675675,10,0,13,0,13,0
福建,Fujian,三明,Sanming,26.263406,117.638678,4,0,8,0,8,0
福建,Fujian,厦门,Xiamen,24.479833,118.089425,4,0,5,0,6,0
福建,Fujian,漳州,Zhangzhou,24.513025,117.647093,5,0,5,0,6,0
甘肃,Gansu,白银,Baiyin,36.545015,104.138586,1,0,1,0,1,0
甘肃,Gansu,定西,Dingxi,35.580662,104.626282,1,0,1,0,1,0
甘肃,Gansu,兰州,Lanzhou,36.061089,103.834303,8,0,11,0,14,0
甘肃,Gansu,临夏,Linxia,35.601182,103.210538,2,0,2,0,2,0
甘肃,Gansu,陇南,Longnan,33.400684,104.921841,1,0,1,0,1,0
甘肃,Gansu,张掖,Zhangye,38.925875,100.449818,1,0,1,0,2,0
广东,Guangdong,东莞,Dongguan,23.020673,113.751799,2,0,2,0,7,0
广东,Guangdong,佛山,Foshan,23.021478,113.121435,14,0,18,0,18,0
广东,Guangdong,广州,Guangzhou,23.12911,113.264385,41,0,51,0,63,0
广东,Guangdong,惠州,Huizhou,23.112257,114.415801,8,0,11,0,12,0
广东,Guangdong,揭阳,Jieyang,23.549701,116.372708,3,0,4,0,6,0
广东,Guangdong,梅州,Meizhou,24.288578,116.122523,3,0,3,0,4,0
广东,Guangdong,清远,Qingyuan,23.681774,113.056042,3,0,5,0,6,0
广东,Guangdong,汕头,Shantou,23.354091,116.681972,2,0,5,0,6,0
广东,Guangdong,汕尾,Shanwei,22.786186,115.375158,1,0,1,0,1,0
广东,Guangdong,韶关,Shaoguan,24.810879,113.59762,4,0,4,0,4,0
广东,Guangdong,深圳,Shenzhen,22.543096,114.057865,36,0,49,0,63,0
广东,Guangdong,阳江,Yangjiang,21.857958,111.982232,8,0,8,0,10,0
广东,Guangdong,湛江,Zhanjiang,21.270702,110.359368,5,0,5,0,7,0
广东,Guangdong,肇庆,Zhaoqing,23.047191,112.465091,4,0,4,0,5,0
广东,Guangdong,中山,Zhongshan,22.517585,113.39277,5,0,6,0,12,0
广东,Guangdong,珠海,Zhuhai,22.270978,113.576677,12,0,12,0,14,0
广西,Guangxi,百色,Baïse,23.902479,106.618283,2,0,2,0,2,0
广西,Guangxi,北海,Beihai,21.481291,109.120161,9,0,11,0,13,0
广西,Guangxi,防城港,Fangchenggang,21.68686,108.353846,3,0,3,0,5,0
广西,Guangxi,桂林,Guilin,25.234479,110.179953,14,0,15,0,16,0
广西,Guangxi,河池,Hechi,24.692931,108.085261,3,0,3,0,3,0
广西,Guangxi,柳州,Liuzhou,24.326292,109.428608,6,0,6,0,6,0
广西,Guangxi,南宁,Nanning,22.817002,108.366543,5,0,5,0,7,0
广西,Guangxi,梧州,Wuzhou,23.476962,111.279115,2,0,4,0,4,0
广西,Guangxi,玉林,Yulin,22.654032,110.18122,2,0,2,0,2,0
贵州,Guizhou,贵阳,Guiyang,26.647661,106.630153,1,0,1,0,1,0
贵州,Guizhou,六盘水,Liupanshui,26.592666,104.830359,1,0,1,0,1,0
贵州,Guizhou,黔南州,Qiannan,26.254092,107.522097,2,0,4,0,4,0
贵州,Guizhou,黔西南州,Qianxinan,25.087856,104.906397,1,0,1,0,1,0
贵州,Guizhou,铜仁,Tongren,27.731514,109.189598,2,0,2,0,2,0
海南,Hainan,澄迈县,Chengmai,19.738521,110.006755,2,0,2,1,2,1
海南,Hainan,儋州,Danzhou,19.521134,109.580811,5,0,5,0,5,0
海南,Hainan,海口,Haikou,20.044412,110.198286,6,0,7,0,9,0
海南,Hainan,临高县,Lingao,19.912025,109.690508,1,0,1,0,1,0
海南,Hainan,陵水县,Lingshui,18.506048,110.037503,1,0,1,0,1,0
海南,Hainan,三亚,Sanya,18.252847,109.511909,11,0,14,0,14,0
海南,Hainan,万宁,Wanning,18.795143,110.391073,7,0,7,0,8,0
河北,Hebei,保定,Baoding,38.874434,115.464589,3,0,3,0,6,0
河北,Hebei,沧州,Cangzhou,38.30447700000001,116.838834,2,1,5,1,8,1
河北,Hebei,承德,Chengde,40.952942,117.96275,1,0,1,0,1,0
河北,Hebei,邯郸市,Handan,36.625656,114.538961,2,0,2,,2,
河北,Hebei,廊坊,Langfang,39.53804700000001,116.683752,2,0,6,0,9,0
河北,Hebei,石家庄,Shijiazhuang,38.042805,114.514893,7,0,9,0,10,0
河北,Hebei,邢台,Xingtai,37.070834,114.504677,1,0,2,0,3,0
黑龙江,Heilongjiang,大庆,Daqing,46.589309,125.103784,5,0,5,0,5,0
黑龙江,Heilongjiang,哈尔滨,Harbin,45.80377499999999,126.534967,8,0,10,0,11,0
黑龙江,Heilongjiang,佳木斯,Jiamusi,46.799777,130.3188779,1,0,1,0,5,0
黑龙江,Heilongjiang,牡丹江,Mudanjiang,44.55165299999999,129.633168,1,0,1,0,1,0
黑龙江,Heilongjiang,齐齐哈尔,Qiqihar,47.35434799999999,123.918186,1,0,2,0,3,0
黑龙江,Heilongjiang,七台河,Qitaihe,45.771726,131.0031381,1,0,2,0,2,0
黑龙江,Heilongjiang,双鸭山,Shuangyashan,46.646508,131.159133,1,0,1,0,1,0
黑龙江,Heilongjiang,绥化,Suihua,46.653845,126.968887,3,1,8,1,8,1
河南,Henan,安阳市,Anyang,36.097577,114.392392,7,0,11,0,14,0
河南,Henan,鹤壁,Hebi,35.748233,114.297201,2,0,2,0,5,0
河南,Henan,开封,Kaifeng,34.797281,114.307582,1,0,2,0,3,0
河南,Henan,漯河,Luohe,33.580873,114.016536,6,0,9,0,9,0
河南,Henan,洛阳,Luoyang,34.620202,112.453926,2,0,2,0,2,0
河南,Henan,南阳,Nanyang,32.990664,112.528308,19,1,26,1,31,1
河南,Henan,平顶山,Pingdingshan,33.766169,113.192661,5,0,5,0,5,0
